pff_PLAYERNAME,Season,TotalBoxPM,TotalPassBoxPM,TotalRunBoxPM,PassPM,PassBoxPM,RunPM,RunBoxPM,PlayerID,Position,PlayerName,team,position,TotalEPAR,PassEPAR,RunEPAR,plays
Darrius Heyward-Bey,2016,5.05561994,-3.26400196,8.3196219,-0.00702914701273096,-0.01803316,0.03325592182435779,0.0894583,34458,WR,Darrius Heyward-Bey,PIT,WR,1.2775737294885334,-3.096383759145067,4.373957488633601,340
Isaiah McKenzie,2018,4.983218379999999,-1.34950932,6.3327276999999995,0.00150810514908916,-0.00848748,0.06852423674651785,0.09742658,44985,WR,Isaiah McKenzie,DEN,WR,-1.5148605235915618,-1.1172900656610638,-0.3975704579304982,276
Randall Cobb,2018,4.954242300000001,-2.096892,7.0511343,0.00345155814238009,-0.0058247,0.07168953919747109,0.06715366,37139,WR,Randall Cobb,GB,WR,-0.5300296358966541,-0.3156364069169041,-0.21439322897975122,466
Steve Johnson,2015,4.88262135,-5.038447049999999,9.9210684,-0.0050464979100645,-0.01244061,0.08901279745323294,0.05391885,33305,WR,Steve Johnson,SD,WR,-2.6488529560639145,-1.8712015954248566,-0.7776513606390584,635
Adam Thielen,2021,4.88114467,3.2326894800000003,1.64845519,0.01174291756855573,0.00682002,0.06229797242802732,0.00582493,40488,WR,Adam Thielen,MIN,WR,16.54732852307104,14.622576359027672,1.9247521640433667,740
Corey Coleman,2017,4.81522748,-0.04987196,4.86509944,-0.00577280907189949,-1.6036e-4,0.03342902594091265,0.03577279,43304,WR,Corey Coleman,CLV,WR,-4.428378184965755,-2.2102813434292687,-2.2180968415364863,510
Kendrick Bourne,2019,4.77764752,-2.40919278,7.1868403,-0.023187285446449,-0.00714894,0.06273418082029852,0.0397063,45185,WR,Kendrick Bourne,SF,WR,4.485417222531128,1.7356798203090118,2.7497374022221157,632
Jamal Agnew,2020,4.745941200000001,1.50050688,3.24543432,0.03063654856818457,0.01172271,0.043307954581702,0.04703528,44978,WR,Jamal Agnew,DET,WR,-2.0534903961802917,-1.6682538625194074,-0.6690470995337026,199
Jamison Crowder,2015,4.72181034,-2.85603798,7.57784832,0.0095349644247479,-0.00542973,0.05127609541653539,0.02960097,42448,WR,Jamison Crowder,WAS,WR,6.4319168945501,6.962321231470371,-0.3863991725890045,788
Danny Amendola,2015,4.67552718,-1.50072408,6.17625126,0.00584726536131858,-0.00290838,0.05332271936198092,0.03933918,33566,WR,Danny Amendola,NE,WR,10.048156739705888,8.082966596281947,1.1291844085287084,696
Aldrick Robinson,2016,4.63954912,-1.6082907,6.24783982,-0.01384276136774099,-0.00924305,0.04216504635343711,0.03139618,37253,WR,Aldrick Robinson,ATL,WR,11.761351876692565,10.582343564718071,1.1790083119744943,464
Danny Amendola,2019,4.62731487,1.41051807,3.2167968,0.00584726536131858,0.00293247,0.02321483032295383,0.02010498,33566,WR,Danny Amendola,DET,WR,11.1593647635021,10.499145319151342,-0.3335881095601283,646
Pierre Garcon,2017,4.5643071200000005,-3.30448516,7.86879228,0.01227688633584999,-0.01131673,0.06074351111775845,0.05743644,33286,WR,Pierre Garcon,SF,WR,14.546158756419619,14.472929948168028,0.0732288082515913,466
Lucky Whitehead,2015,4.49698132,-2.1724287,6.66941002,0.00403579345751509,-0.03342198,0.07198407153397725,0.07329022,42788,WR,Lucky Whitehead,DAL,WR,-4.296784459719431,-5.22680532415406,0.9300208644346288,274
Corey Davis,2022,4.488609939999999,-6.3098982,10.79850814,-0.01224544543083838,-0.0152413,0.06508427491770223,0.05426386,44817,WR,Corey Davis,NYJ,WR,3.697471988295414,4.422592251005685,-0.7251202627102716,638
Cordarrelle Patterson,2016,4.481007999999999,-3.2142418000000004,7.6952498,-0.01966227637402814,-0.00834868,0.0420450931777464,0.05496607,39975,WR,Cordarrelle Patterson,MIN,WR,11.301210133960225,10.200947914114483,1.1002622198457437,562
Mike Williams,2022,4.47498202,1.13721868,3.33776334,0.01420279173591782,0.00236428,0.03001492717658044,0.01503497,44819,WR,Mike Williams,LAC,WR,21.557334309980213,22.20924028881695,-0.6519059788367384,697
Andre Johnson,2015,4.4681231,-8.9055883,13.3737114,-0.00669000327018698,-0.01817467,0.0578939893626846,0.0613473,28039,WR,Andre Johnson,IND,WR,3.216464191183928,0.6893965718353687,2.5270676193485584,739
Tavon Austin,2018,4.448883840000001,-0.245784,4.69466784,-0.01421567138989116,-0.002793,0.07000118536298036,0.09780558,39954,WR,Tavon Austin,DAL,WR,-0.5521648589550856,-1.314328447302541,0.7621635883474552,161
Marquise Goodwin,2021,4.4262521900000005,0.39558211,4.03067008,-0.00386045909849042,0.00153923,0.06432190608080512,0.02963728,40026,WR,Marquise Goodwin,CHI,WR,13.241045495894635,12.76809943686868,0.4729460590259579,382
Tavon Austin,2021,4.36274691,-4.176169590000001,8.538916500000001,-0.04370884640864651,-0.01960643,0.07140067124502768,0.11385222,39954,WR,Tavon Austin,JAX,WR,8.06108210447697,7.492460647372582,0.5686214571043888,321
Cole Beasley,2021,4.33589626,-4.51829259,8.85418885,0.00878849981599736,-0.00796877,0.06930802061820318,0.05239165,38947,WR,Cole Beasley,BUF,WR,7.776005696147741,8.450387941022647,-0.3165887139734907,762
Jakeem Grant,2020,4.289933029999999,-0.12868453000000002,4.4186175599999995,-0.01088260544170136,-5.2099e-4,0.0240088666837818,0.03592372,43475,WR,Jakeem Grant,MIA,WR,9.553638772718035,10.110563275146909,-0.5569245024288743,364
Miles Boykin,2019,4.244288739999999,-4.29384856,8.538137299999999,-0.03449791414547568,-0.01759774,0.05569021961421157,0.03484954,47876,WR,Miles Boykin,BLT,WR,-0.0924080515863307,-5.2564982410554935,5.164090189469163,563
